Person_ID,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
O838563,02/08/2020 09:47:00 PM,3200 W JACKSON BLVD,DRIVER,-87.70613,41.877436,POINT (-87.70613 41.877436)
O1019719,01/04/2021 04:50:00 PM,3952 W FULLERTON AVE,PEDESTRIAN,-87.72646,41.924598,POINT (-87.72646 41.924598)
O1521023,02/19/2023 09:08:00 PM,6334 W BRYN MAWR,DRIVER,-87.78666061,41.98300623,POINT (-87.78666061 41.98300623)
O1663722,09/18/2023 07:26:00 AM,2751 W PETERSON AVE,PEDESTRIAN,-87.69908651,41.99033475,POINT (-87.69908651 41.99033475)
O1053810,03/05/2021 08:35:00 AM,5123 S WESTERN,DRIVER,-87.65398,41.800411,POINT (-87.65398 41.800411)
O1244925,12/11/2021 05:54:00 PM,2400 W OGDEN AVE,PEDESTRIAN,-87.68616067,41.86483171,POINT (-87.68616067 41.86483171)
O961610,09/20/2020 05:24:00 AM,930 W GARFIELD BLVD,DRIVER,-87.62446,41.752728,POINT (-87.62446 41.752728)
O1360828,06/29/2022 06:45:00 PM,5890 S ARCHER AVE,PEDESTRIAN,-87.76238839,41.79570028,POINT (-87.76238839 41.79570028)
O1182118,09/12/2021 10:38:00 AM,727 S INDEPENDENCE BLVD,CYCLIST,-87.71956136,41.87176575,POINT (-87.71956136 41.87176575)
O1125801,06/24/2021 11:15:00 PM,1632 E MARQUETTE DR,DRIVER,-87.58485904,41.77536486,POINT (-87.58485904 41.77536486)
P194323,02/25/2020 06:45:00 PM,1020 E 95TH ST,PASSENGER,-87.5988,41.722249,POINT (-87.5988 41.722249)
O1443483,10/18/2022 03:20:00 PM,351 E 103RD ST,PEDESTRIAN,-87.61416259,41.70719854,POINT (-87.61416259 41.70719854)
O1107114,05/31/2021 03:20:00 PM,7010 W GRAND AVE,DRIVER,-87.80124359,41.92366003,POINT (-87.80124359 41.92366003)
O969412,10/02/2020 04:30:00 PM,617 S PULASKI RD,PEDESTRIAN,-87.64937293,41.75067219,POINT (-87.64937293 41.75067219)
O563345,01/14/2019 05:48:00 AM,5900 S CORNELL DR,DRIVER,-87.58535,41.787977,POINT (-87.58535 41.787977)
P229718,12/26/2020 03:12:00 AM,300 E 63RD ST,PASSENGER,-87.58499267,41.72135413,POINT (-87.58499267 41.72135413)
O1346204,05/27/2022 07:01:00 PM,3032 W NORTH AVE,PEDESTRIAN,-87.70351003,41.91027069,POINT (-87.70351003 41.91027069)
O1194219,09/28/2021 09:50:00 AM,8106 S RACINE AVE,PEDESTRIAN,-87.65378117,41.74659471,POINT (-87.65378117 41.74659471)
O1185425,09/16/2021 08:04:00 PM,757 N KEDZIE AVE,PEDESTRIAN,-87.7064046,41.8954079,POINT (-87.7064046 41.8954079)
O981900,10/23/2020 01:09:00 PM,6202 W HIGGINS AVE,CYCLIST,-87.71422519,41.89537021,POINT (-87.71422519 41.89537021)
P166291,08/29/2019 02:20:00 AM,1 S HALSTED ST,PASSENGER,-87.64721,41.881717,POINT (-87.64721 41.881717)
O1550946,04/08/2023 09:48:00 PM,5199 W JACKSON BLVD,PEDESTRIAN,-87.75485109,41.8765507,POINT (-87.75485109 41.8765507)
P205530,06/15/2020 07:07:00 AM,3739 W HARRISON ST,PASSENGER,-87.70463,41.735259,POINT (-87.70463 41.735259)
O644899,05/11/2019 11:14:00 PM,8300 S COTTAGE GROVE AVE,PEDESTRIAN,-87.60517616,41.74387382,POINT (-87.60517616 41.74387382)
O1560097,04/21/2023 10:50:00 PM,3415 N DUSABLE LAKE SHORE DRIVE,PEDESTRIAN,-87.640921,41.944412,POINT (-87.640921 41.944412)
O1284039,02/18/2022 11:14:00 AM,8700 S JEFFERY BLVD,DRIVER,-87.57586271,41.73696313,POINT (-87.57586271 41.73696313)
O1313557,04/08/2022 04:52:00 AM,3532 W 63RD ST,DRIVER,-87.71171973,41.77894241,POINT (-87.71171973 41.77894241)
O1604947,06/24/2023 09:25:00 AM,5658 S NATCHEZ AVE,CYCLIST,-87.7842641,41.7887246,POINT (-87.7842641 41.7887246)
O1162628,08/14/2021 09:33:00 PM,3375 W HARRISON ST,PEDESTRIAN,-87.71071584,41.87351931,POINT (-87.71071584 41.87351931)
P328275,12/18/2022 02:38:00 AM,5044 W LAKE ST,PASSENGER,-87.7521484,41.88712166,POINT (-87.7521484 41.88712166)
P203655,05/31/2020 02:16:00 AM,9500 S JEFFERY AVE,PASSENGER,-87.72802885,41.96292884,POINT (-87.72802885 41.96292884)
O1383749,07/22/2022 12:00:00 AM,2300 S LAKE SHORE DR,DRIVER,-87.61388212,41.85101978,POINT (-87.61388212 41.85101978)
P357116,07/09/2023 05:57:00 AM,4501 S DUSABLE LAKE SHORE DRIVE,PASSENGER,-87.59242353,41.81440018,POINT (-87.59242353 41.81440018)
O1570407,05/07/2023 01:48:00 AM,1000 N CALIFORNIA,CYCLIST,-87.69693873,41.89932699,POINT (-87.69693873 41.89932699)
P316722,09/24/2022 01:15:00 AM,5327 S DUSABLE LAKE SHORE,PASSENGER,-87.58117038,41.79901908,POINT (-87.58117038 41.79901908)
P264086,09/05/2021 07:10:00 PM,7000 N WESTERN AVE,PASSENGER,-87.69031084,42.00867159,POINT (-87.69031084 42.00867159)
O1005928,12/09/2020 03:58:00 AM,4647 S WESTERN AVE,DRIVER,-87.68102,41.692231,POINT (-87.68102 41.692231)
P340880,03/25/2023 07:13:00 AM,4300 N DUSABLE LAKE SHORE DR,PASSENGER,-87.64649795,41.96104836,POINT (-87.64649795 41.96104836)
O946888,08/27/2020 03:20:00 PM,6900 S DAMEN AVE,PEDESTRIAN,-87.64384,41.748731,POINT (-87.64384 41.748731)
O1306483,03/27/2022 10:35:00 PM,3350 S KEDZIE AVE,PEDESTRIAN,-87.7048204,41.8319601,POINT (-87.7048204 41.8319601)
O800965,12/12/2019 07:20:00 PM,10220 S WENTWORTH AVE,DRIVER,-87.62849,41.70827,POINT (-87.62849 41.70827)
P285326,02/11/2022 01:20:00 PM,4313 S ELLIS AVE,PASSENGER,-87.60184365,41.8165693,POINT (-87.60184365 41.8165693)
